case_id,root_cause,confidence,evidence,next_command,fix_steps,rule_flags
C01,VLAN/trunk misconfiguration,medium,Symptom observed: VLAN10 PC cannot reach VLAN20 server || Key show output clue: show vlan brief: VLAN20 missing; show interfaces trunk: allowed 10 only,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_vlan
C02,VLAN/trunk misconfiguration,medium,Symptom observed: Users in VLAN30 lose connectivity after switch reload || Key show output clue: show vlan brief: VLAN30 absent,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_vlan
C03,VLAN/trunk misconfiguration,medium,Symptom observed: Inter-VLAN ping fails for VLAN40 only || Key show output clue: show run int g0/0.40 missing encapsulation dot1q 40,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,gateway_mismatch | interface_down | missing_route
C04,Routing path missing or incorrect,medium,Symptom observed: Host can reach local LAN but not remote subnet || Key show output clue: show ip route lacks default route,show ip route,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,gateway_mismatch
C05,L3 addressing mismatch,medium,Symptom observed: Only one PC in subnet cannot browse || Key show output clue: ipconfig shows gateway 192.168.50.254 but SVI 192.168.50.1,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,gateway_mismatch
C06,L3 addressing mismatch,medium,Symptom observed: Two clients intermittently conflict || Key show output clue: arp table flips between two macs for same IP,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,duplicate_ip
C07,DHCP scope or relay issue,medium,Symptom observed: New PCs get APIPA addresses || Key show output clue: show ip dhcp pool: no pool for 10.70.70.0/24,show ip dhcp pool,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C08,VLAN/trunk misconfiguration,medium,Symptom observed: Clients in VLAN80 get no DHCP offers || Key show output clue: show run int vlan80 has no ip helper-address,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C09,DHCP scope or relay issue,medium,Symptom observed: DHCP leases handed with wrong gateway || Key show output clue: show ip dhcp pool: default-router 10.90.90.254,show ip dhcp pool,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,gateway_mismatch
C10,L3 addressing mismatch,medium,Symptom observed: Some hosts cannot reach peers || Key show output clue: show run: mask configured /16 on /24 network,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,wrong_mask
C11,DNS resolver or record issue,medium,Symptom observed: Users can ping IP but not hostname || Key show output clue: show hosts: no DNS servers configured,show hosts,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C12,L3 addressing mismatch,medium,Symptom observed: Only one domain fails to resolve || Key show output clue: nslookup app.lab.local fails NXDOMAIN,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C13,DNS resolver or record issue,medium,Symptom observed: DNS queries timeout from branch || Key show output clue: show ip route missing route to DNS subnet,show hosts,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_route
C14,Routing path missing or incorrect,medium,Symptom observed: Branch cannot reach HQ 10.10.10.0/24 || Key show output clue: show ip route: no 10.10.10.0 entry,show ip route,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_route
C15,Routing path missing or incorrect,medium,Symptom observed: OSPF neighbors not forming || Key show output clue: show ip ospf interface: network type mismatch,show ip route,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C16,Routing path missing or incorrect,medium,Symptom observed: EIGRP routes missing on R3 || Key show output clue: show ip protocols missing network 10.160.0.0,show ip route,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_route
C17,VLAN/trunk misconfiguration,medium,Symptom observed: Traffic to server blocked from VLAN170 || Key show output clue: show access-lists deny ip any host 10.170.170.50,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C18,ACL policy blocking traffic,medium,Symptom observed: Ping blocked but web should be allowed || Key show output clue: ACL denies tcp 80 by rule order,show access-lists,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C19,VLAN/trunk misconfiguration,medium,Symptom observed: Guest VLAN can access finance subnet || Key show output clue: show access-lists missing guest deny to 10.190.0.0/16,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C20,NAT mapping or ACL mismatch,medium,Symptom observed: Users reach internet but not return traffic || Key show output clue: show ip nat statistics no hits on inside interface,show ip nat translations,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C21,NAT mapping or ACL mismatch,medium,Symptom observed: Only subnet 192.168.210.0 cannot use NAT || Key show output clue: show access-lists 1 missing 192.168.210.0/24,show ip nat translations,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C22,NAT mapping or ACL mismatch,medium,Symptom observed: PAT translations exhaust quickly || Key show output clue: show ip nat statistics max entries reached,show ip nat translations,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C23,Wireless auth or VLAN mapping issue,medium,Symptom observed: SSID visible but auth fails || Key show output clue: client logs show wrong pre-shared key,show wlan summary,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C24,VLAN/trunk misconfiguration,medium,Symptom observed: Wi-Fi clients connect but no IP || Key show output clue: show interface trunk omits VLAN240,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_vlan
C25,VLAN/trunk misconfiguration,medium,Symptom observed: Guest Wi-Fi reaches internal app || Key show output clue: show wlan summary maps guest SSID to corp VLAN,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C26,L3 addressing mismatch,medium,Symptom observed: Switch uplink amber and no upstream reachability || Key show output clue: show interfaces status: Gi0/1 notconnect,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,interface_down
C27,VLAN/trunk misconfiguration,medium,Symptom observed: Hosts in VLAN270 can ping gateway only || Key show output clue: show ip route missing 10.27.0.0/16 summary route,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_route
C28,L3 addressing mismatch,medium,Symptom observed: VoIP phones get IP but call manager unreachable || Key show output clue: show access-lists blocks tcp 2000,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C29,DHCP scope or relay issue,medium,Symptom observed: PC receives wrong DNS from DHCP || Key show output clue: show ip dhcp pool points dns-server 1.1.1.1 not internal,show ip dhcp pool,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C30,L3 addressing mismatch,medium,Symptom observed: Internet works by IP but not URL for all hosts || Key show output clue: show run has no ip name-server,show ip interface brief,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
C31,VLAN/trunk misconfiguration,medium,Symptom observed: Management VLAN cannot reach NTP server || Key show output clue: show ip route lacks 10.31.100.0/24,show interfaces trunk,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,missing_route
C32,Wireless auth or VLAN mapping issue,medium,Symptom observed: Wireless handheld gets intermittent drops || Key show output clue: show controllers dot11radio indicates high interference,show wlan summary,Validate suspected fault with the next command || Correct the configuration item related to root cause || Re-test connectivity and service behavior,
