case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity,assigned_ips,subnet_masks,expected_mask,default_gateway,gateway_interface_ip,interface_status,required_vlans,configured_vlans,required_routes,configured_routes
C01,"VLAN10 PC cannot reach VLAN20 server","SW1 trunk to R1 router-on-a-stick","show vlan brief: VLAN20 missing; show interfaces trunk: allowed 10 only","Missing VLAN 20 on switch trunk",2,VLAN,high,"192.168.10.10|192.168.20.20","PC1=255.255.255.0|PC2=255.255.255.0",255.255.255.0,192.168.10.1,192.168.10.1,"f0/1:up|g0/1:up","10|20","10","192.168.20.0/24","192.168.20.0/24"
C02,"Users in VLAN30 lose connectivity after switch reload","Campus L2 access switch","show vlan brief: VLAN30 absent","VLAN database not saved",2,VLAN,medium,"10.30.30.11","PC1=255.255.255.0",255.255.255.0,10.30.30.1,10.30.30.1,"f0/10:up","30","","10.30.30.0/24","10.30.30.0/24"
C03,"Inter-VLAN ping fails for VLAN40 only","R1 subinterfaces for 10/20/40","show run int g0/0.40 missing encapsulation dot1q 40","Subinterface VLAN tag missing",2,VLAN,high,"10.40.40.5","PC1=255.255.255.0",255.255.255.0,10.40.40.1,10.40.40.254,"g0/0.40:down","40","40","10.40.40.0/24",""
C04,"Host can reach local LAN but not remote subnet","Single router branch","show ip route lacks default route","Missing default gateway on host",3,Gateway,medium,"172.16.1.10","PC1=255.255.255.0",255.255.255.0,172.16.1.254,172.16.1.1,"f0/1:up","","","0.0.0.0/0","0.0.0.0/0"
C05,"Only one PC in subnet cannot browse","Flat LAN","ipconfig shows gateway 192.168.50.254 but SVI 192.168.50.1","Wrong default gateway configured on host",3,Gateway,low,"192.168.50.10","PC1=255.255.255.0",255.255.255.0,192.168.50.254,192.168.50.1,"f0/2:up","50","50","192.168.50.0/24","192.168.50.0/24"
C06,"Two clients intermittently conflict","Small office VLAN60","arp table flips between two macs for same IP","Duplicate static IP on clients",3,Gateway,high,"192.168.60.10|192.168.60.10","PC1=255.255.255.0|PC2=255.255.255.0",255.255.255.0,192.168.60.1,192.168.60.1,"f0/3:up|f0/4:up","60","60","192.168.60.0/24","192.168.60.0/24"
C07,"New PCs get APIPA addresses","R1 provides DHCP for VLAN70","show ip dhcp pool: no pool for 10.70.70.0/24","Missing DHCP pool",7,DHCP,high,"","PC1=255.255.255.0",255.255.255.0,10.70.70.1,10.70.70.1,"f0/5:up","70","70","10.70.70.0/24","10.70.70.0/24"
C08,"Clients in VLAN80 get no DHCP offers","Central DHCP server via relay","show run int vlan80 has no ip helper-address","Missing DHCP relay helper",7,DHCP,high,"","PC1=255.255.255.0",255.255.255.0,10.80.80.1,10.80.80.1,"vlan80:up","80","80","10.80.80.0/24","10.80.80.0/24"
C09,"DHCP leases handed with wrong gateway","Server pool options","show ip dhcp pool: default-router 10.90.90.254","DHCP option default-router incorrect",7,DHCP,medium,"10.90.90.20","PC1=255.255.255.0",255.255.255.0,10.90.90.254,10.90.90.1,"vlan90:up","90","90","10.90.90.0/24","10.90.90.0/24"
C10,"Some hosts cannot reach peers","Subnetting lab","show run: mask configured /16 on /24 network","Wrong subnet mask",3,Gateway,medium,"10.100.1.10|10.100.1.11","PC1=255.255.0.0|PC2=255.255.255.0",255.255.255.0,10.100.1.1,10.100.1.1,"f0/6:up","100","100","10.100.1.0/24","10.100.1.0/24"
C11,"Users can ping IP but not hostname","DNS server at 8.8.8.8 in lab","show hosts: no DNS servers configured","Missing DNS server setting",7,DNS,medium,"192.168.110.10","PC1=255.255.255.0",255.255.255.0,192.168.110.1,192.168.110.1,"f0/7:up","110","110","192.168.110.0/24","192.168.110.0/24"
C12,"Only one domain fails to resolve","Internal DNS records","nslookup app.lab.local fails NXDOMAIN","Missing DNS A record",7,DNS,low,"192.168.120.10","PC1=255.255.255.0",255.255.255.0,192.168.120.1,192.168.120.1,"f0/8:up","120","120","192.168.120.0/24","192.168.120.0/24"
C13,"DNS queries timeout from branch","Branch to HQ WAN","show ip route missing route to DNS subnet","Missing route to DNS server network",3,DNS,high,"192.168.130.10","PC1=255.255.255.0",255.255.255.0,192.168.130.1,192.168.130.1,"s0/0/0:up","130","130","10.10.53.0/24",""
C14,"Branch cannot reach HQ 10.10.10.0/24","Two-router static routing lab","show ip route: no 10.10.10.0 entry","Missing static route",3,Routing,high,"192.168.140.10","PC1=255.255.255.0",255.255.255.0,192.168.140.1,192.168.140.1,"s0/0/1:up","140","140","10.10.10.0/24",""
C15,"OSPF neighbors not forming","Area0 between R1 and R2","show ip ospf interface: network type mismatch","OSPF network type mismatch",3,Routing,high,"192.168.150.10","PC1=255.255.255.0",255.255.255.0,192.168.150.1,192.168.150.1,"s0/0/0:up","150","150","172.16.200.0/30","172.16.200.0/30"
C16,"EIGRP routes missing on R3","Three-router EIGRP lab","show ip protocols missing network 10.160.0.0","EIGRP network statement missing",3,Routing,medium,"10.160.1.10","PC1=255.255.255.0",255.255.255.0,10.160.1.1,10.160.1.1,"g0/0:up","160","160","10.160.0.0/16",""
C17,"Traffic to server blocked from VLAN170","ACL on distribution router","show access-lists deny ip any host 10.170.170.50","Overly broad ACL deny",4,ACL,high,"10.170.170.10","PC1=255.255.255.0",255.255.255.0,10.170.170.1,10.170.170.1,"g0/1:up","170","170","10.170.170.0/24","10.170.170.0/24"
